"","Pokemon","category","items"
"1","Eevee","Activity","Food counter, Industrial Bench, Garden bench, Tea set, Paper Party cups, Printer, Whiteboard, Sandbox, Jump-Over Tire, Concrete pipe, Punching bag, Slide, Vending machine, Community Box, Handcar, Elevator platform, Lift platform"
"2","Eevee","Appearance","Antique chest, Antique table, Cute table, Cute chair, Cute sofa, Pop art sofa, Cute bed, Cute dresser"
"3","Eevee","Material","Straw stool, Simple cushion, Fluffy Chair, Antique Chair, Plain sofa, Resort sofa, Antique sofa, Luxury sofa, Cute sofa, Pop art sofa, Poké Ball Sofa, Mini plain bed, Resort hammock, Straw bed, Pop art bed, Poké Ball bed, Berry bed, Wooden Bed, Guest-room bed, Antique bed, Industrial bed, Luxury bed, Cute bed, Gaming bed, Eevee doll, Pikachu doll, Clefairy doll, Arcanine doll, Dragonite doll, Ditto doll, Substitute doll, Straw table, Stone table, Stone bench, Stone fireplace, Mysterious statue, Fiery Magby statue, Concrete pipe, Gravestone, Bread oven"
"4","Espeon","Ambience","Resort hammock, Fan, Pinwheels, Balloons, Berry wall decoration, Torch, Slender candle, Eerie Candle, Firepit, Weathervane, Ditto Flag"
"5","Espeon","Appearance","Antique chest, Antique table, Cute table, Cute chair, Cute sofa, Pop art sofa, Cute bed, Cute dresser"
"6","Espeon","Other","Crystal ball, Eerie Candle, Book, Open Book, Book pile, Research paper, Newspaper, Laptop, Computer, Gaming PC, Game Boy system, Microscope, Science experiment, Control unit, Large mirror, Antique dresser, Luxury dresser, Cute dresser, Small vase, Large-Leafed Tree, Decorative vase, Extravagant flowers, Tall potted plant, Flat Shrub, Twisted potted plant, Photo Frame, Wall-Mounted Photo Frame, Corkboard, Antique clock, Party Wall Decoration, Vine wall decoration, Berry wall decoration, Wall-Mounted Flower, Chansey plant, Garden ornament, Garden flower, Weathervane, Painting (landscape)), Painting (portrait)), Painting (still life)), Menu board, Sign, Standing Signboard, Information Board, Raichu sign, Frame"
"7","Flareon","Activity","Ship's Wheel, Model space shuttle, Spaceship, Bike, Canoe, Inflatable boat, Railway track, Crossing gate, Handcar, Elevator platform, Lift platform"
"8","Flareon","Ambience","Stone fireplace, Campfire, Torch, Slender candle, Eerie Candle, Wall-Mounted Torch, Firepit, Bonfire, Bread oven, Smelting furnace, Metallic smelting furnace"
"9","Flareon","Appearance","Antique chest, Antique table, Cute table, Cute chair, Cute sofa, Pop art sofa, Cute bed, Cute dresser"
"10","Flareon","Material","Storage Box, Log table, Wooden table, Industrial desk, Study Desk, Log chair, Wooden Stool, Wooden bench, Industrial Bench, Wooden Bed, Wooden plate, Toy blocks, Cart, Perch, Wooden birdhouse, Hot-spring spout, Water basin, Arrow sign, Sign, Worn wooden crate, Wooden crate, Cutting board, Iron Stand, Iron table, Iron Rack, Industrial chair, Iron chair, Folding chair, Iron Bench, Industrial Bench, Iron bed, Industrial bed, Nugget, Firework Launcher, Bell, Fire hydrant, Excavation tools, Frying pan, Metallic smelting furnace, Lantern, Mirror ball"
"11","Glaceon","Activity","Food counter, Industrial Bench, Garden bench, Tea set, Paper Party cups, Printer, Whiteboard, Sandbox, Jump-Over Tire, Concrete pipe, Punching bag, Slide, Vending machine, Community Box, Handcar, Elevator platform, Lift platform"
"12","Glaceon","Ambience","Resort table, Waterproof seat, Deck chair, Beach chair, Sink, Modern sink, Bath Set, Shower, Bathtub, Bouncy blue bathtub, Hot-spring spout, Water basin, Canoe, Inflatable boat, Horsea fountain, Fishing rod, Fire hydrant, Sprinkler, Mini floodgate"
"13","Glaceon","Appearance","Gaming fridge, Luxury chair, Gaming chair, Gaming bed, Gaming PC, Nugget, Small stage, Raichu sign, Mushroom streetlight, Town Streetlight, Mushroom lamp, Plain lamp, Poké Ball light, Berry table lamp, Cute lamp, Luxury lamp, Garden light, Lantern, Gaming light, Resort light, Pop art lamp, Berry hanging lamp, Antique chandelier, Spotlight, Mirror ball, Antique chest, Antique table, Cute table, Cute chair, Cute sofa, Pop art sofa, Cute bed, Cute dresser"
"14","Glaceon","Material","Office shelf, Office table, Wall mirror, Large mirror, Antique dresser, Luxury dresser, Cute dresser, Soda float, Crystal ball, Vending machine, Berry table lamp"
"15","Jolteon","Appearance","Gaming fridge, Luxury chair, Gaming chair, Gaming bed, Gaming PC, Nugget, Small stage, Raichu sign, Mushroom streetlight, Town Streetlight, Mushroom lamp, Plain lamp, Poké Ball light, Berry table lamp, Cute lamp, Luxury lamp, Garden light, Lantern, Gaming light, Resort light, Pop art lamp, Berry hanging lamp, Antique chandelier, Spotlight, Mirror ball, Antique chest, Antique table, Cute table, Cute chair, Cute sofa, Pop art sofa, Cute bed, Cute dresser"
"16","Jolteon","Material","Office shelf, Office table, Wall mirror, Large mirror, Antique dresser, Luxury dresser, Cute dresser, Soda float, Crystal ball, Vending machine, Berry table lamp"
"17","Jolteon","Other","Microwave oven, Fan, Printer, Washing machine, Laptop, Computer, Gaming PC, Wall-Mounted Monitor, Audio mixer, Vending machine, Small stage, Cash register, Utility Pole, Mini generator, Floor switch, Town Streetlight, Harbor streetlight, Chic streetlight, Double Streetlight, Plain lamp, Desk light, Poké Ball light, Berry table lamp, Cute lamp, Poké Ball Lamp, Luxury lamp, Garden light, Lantern, Wall light, Shell lamp, Fluorescent light, Gaming light, Illumination Lights, Resort light, Pop art lamp, Berry hanging lamp, Antique chandelier, Ground Light, Spotlight, Mirror ball"
"18","Jolteon","Shape","Cool electric guitar, Cool bass guitar"
"19","Leafeon","Activity","First aid kit"
"20","Leafeon","Ambience","Straw table, Log table, Straw stool, Log chair, Straw bed, Wreath, Vine wall decoration, Berry wall decoration, Campfire, Wall-Mounted Flower, Chansey plant, Garden flower, Perch, Mushroom streetlight, Mushroom lamp"
"21","Leafeon","Appearance","Garden table, Garden chair, Garden bench, Small vase, Wall-Mounted Flower, Chansey plant, Garden flower, Garden light, Antique chest, Antique table, Cute table, Cute chair, Cute sofa, Pop art sofa, Cute bed, Cute dresser"
"22","Leafeon","Material","Simple cushion, Fluffy Chair, Antique Chair, Gaming chair, Antique sofa, Pop art sofa, Poké Ball Sofa, Resort hammock, Antique bed, Eevee doll, Pikachu doll, Clefairy doll, Arcanine doll, Dragonite doll, Ditto doll, Substitute doll, Sandbags, Ditto Flag"
